id,name,account_id,display_name, - ,reconcile,user_type_id:id,chart_template_id:id,tag_ids:id
,,111505,Bancos Nacionales,group_fin_1_1_efe_equ,1,account.data_account_type_liquidity,chart_template_niif_financiero,aat_1012_1110_K
,,111510,Bancos Del Exterior,group_fin_1_1_efe_equ,1,account.data_account_type_liquidity,chart_template_niif_financiero,aat_1012_1110_K
,,111515,Corresponsales,group_fin_1_1_efe_equ,1,account.data_account_type_liquidity,chart_template_niif_financiero,aat_1012_1110_K
,,111520,Sucursales En El Extranjero,group_fin_1_1_efe_equ,1,account.data_account_type_liquidity,chart_template_niif_financiero,aat_1012_1110_K
,,111525,Depósitos Por Primas Recaudadas,group_fin_1_1_efe_equ,1,account.data_account_type_liquidity,chart_template_niif_financiero,aat_1012_1110_K
,,111595,Otras Entidades Financieras,group_fin_1_1_efe_equ,1,account.data_account_type_liquidity,chart_template_niif_financiero,aat_1012_1110_K
l10n_co_budgetary_position.niif_fin_1120,1120 - Canje,1120,Canje,,0,account.data_account_off_sheet,chart_template_niif_financiero,
,,112005,Canje,group_fin_1_1_efe_equ,1,account.data_account_type_liquidity,chart_template_niif_financiero,aat_1012_1110_K
,,112095,Otros Canje,group_fin_1_1_efe_equ,1,account.data_account_type_liquidity,chart_template_niif_financiero,aat_1012_1110_K
l10n_co_budgetary_position.niif_fin_1125,1125 - Administración De Liquidez ,1125,Administración De Liquidez ,,0,account.data_account_off_sheet,chart_template_niif_financiero,
,,112505,Administración De Liquidez ,group_fin_1_1_efe_equ,1,account.data_account_type_liquidity,chart_template_niif_financiero,aat_1012_1110_K
,,112595,Canje,group_fin_1_1_efe_equ,1,account.data_account_type_liquidity,chart_template_niif_financiero,aat_1012_1110_K
l10n_co_budgetary_position.niif_fin_1130,1130 - Remesas En Tránsito,1130,Remesas En Tránsito,,0,account.data_account_off_sheet,chart_template_niif_financiero,
,,113005,Cheques País,group_fin_1_1_efe_equ,1,account.data_account_type_liquidity,chart_template_niif_financiero,aat_1012_1110_K
,,113010,Cheques Sobre El Exterior,group_fin_1_1_efe_equ,1,account.data_account_type_liquidity,chart_template_niif_financiero,aat_1012_1110_K
,,113095,Otras Remesas En Tránsito,group_fin_1_1_efe_equ,1,account.data_account_type_liquidity,chart_template_niif_financiero,aat_1012_1110_K
l10n_co_budgetary_position.niif_fin_1132,1132 - Fondos En Transito,1132,Fondos En Transito,,0,account.data_account_off_sheet,chart_template_niif_financiero,
,,113205,Fondos En Transito,group_fin_1_1_efe_equ,1,account.data_account_type_liquidity,chart_template_niif_financiero,aat_1012_1110_K
,,113295,Otros Fondos En Transito,group_fin_1_1_efe_equ,1,account.data_account_type_liquidity,chart_template_niif_financiero,aat_1012_1110_K
l10n_co_budgetary_position.niif_fin_1135,1135 - Fondos Especiales,1135,Fondos Especiales,,0,account.data_account_off_sheet,chart_template_niif_financiero,
,,113505,Fondos Especiales,group_fin_1_1_efe_equ,1,account.data_account_type_liquidity,chart_template_niif_financiero,aat_1012_1110_K
,,113595,Fondos Especiales,group_fin_1_1_efe_equ,1,account.data_account_type_liquidity,chart_template_niif_financiero,aat_1012_1110_K
l10n_co_budgetary_position.niif_fin_1140,1140 - Efectivo Restringido,1140,Efectivo Restringido,,0,account.data_account_off_sheet,chart_template_niif_financiero,
,,114005,Efectivo Restringido,group_fin_1_1_efe_equ,1,account.data_account_type_liquidity,chart_template_niif_financiero,aat_1012_1110_K
,,114095,Otro Efectivo Restringido,group_fin_1_1_efe_equ,1,account.data_account_type_liquidity,chart_template_niif_financiero,aat_1012_1110_K
l10n_co_budgetary_position.niif_fin_1150,1150 - Otras Operaciones Equivalentes A Efectivo,1150,Otras Operaciones Equivalentes A Efectivo,,0,account.data_account_off_sheet,chart_template_niif_financiero,
,,115005,Operaciones Monetarias,group_fin_1_1_efe_equ,1,account.data_account_type_liquidity,chart_template_niif_financiero,aat_1012_1110_K
,,115010,Inversiones,group_fin_1_1_efe_equ,1,account.data_account_type_liquidity,chart_template_niif_financiero,aat_1012_1110_K
,,115015,Participación En Fondos A La Vista,group_fin_1_1_efe_equ,1,account.data_account_type_liquidity,chart_template_niif_financiero,aat_1012_1110_K
,,115095,Otros,group_fin_1_1_efe_equ,1,account.data_account_type_liquidity,chart_template_niif_financiero,aat_1012_1110_K
l10n_co_budgetary_position.niif_fin_12,12 - Operaciones Del Mercado Monetario Y Relacionadas,12,Operaciones Del Mercado Monetario Y Relacionadas,,0,account.data_account_off_sheet,chart_template_niif_financiero,
l10n_co_budgetary_position.niif_fin_1205,1205 - Fondos Interasociados Activos,1205,Fondos Interasociados Activos,,0,account.data_account_off_sheet,chart_template_niif_financiero,
,,120505,Compañías De Seguros Generales,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,120510,Compañías De Seguros De Vida,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,120515,Sociedades De Reaseguros,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,120520,Sociedades De Capitalización,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,120595,Otros Fondos Interasociados Activos,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
l10n_co_budgetary_position.niif_fin_1210,1210 - Fondos Interbancarios Vendidos Ordinarios,1210,Fondos Interbancarios Vendidos Ordinarios,,0,account.data_account_off_sheet,chart_template_niif_financiero,
,,121005,Bancos,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,121010,Corporaciones Financieras,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,121015,Compañías De Financiamiento ,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,121020,Banco De La República,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,121025,Tesorería General De La Nación,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,121030,Entidades Del Sector Público,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,121035,Residentes Del Exterior,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,121095,Otras Entidades Financieras,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
l10n_co_budgetary_position.niif_fin_1215,1215 - Operaciones De Reporto O Repo,1215,Operaciones De Reporto O Repo,,0,account.data_account_off_sheet,chart_template_niif_financiero,
,,121505,Compromisos De Transferencia En Operaciones De Repo Abierto,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,121510,Compromisos De Transferencia En Operaciones De Repo Cerrado,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,121515,Cupones Por Recibir De Valores En Operaciones Repo,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,121520,Cuentas Por Cobrar Por Incumplimiento O Terminación Anticipada En Operaciones Repo ,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,121525,Llamado Al Margen Entregado En Dinero En Operaciones Repo,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,121595,Otras Operaciones De Reporto O Repo,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
l10n_co_budgetary_position.niif_fin_1220,1220 - Operaciones Simultáneas,1220,Operaciones Simultáneas,,0,account.data_account_off_sheet,chart_template_niif_financiero,
,,122005,Compromisos De Transferencia De Inversiones En Operaciones Simultáneas,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,122010,Cupones Por Recibir De Valores En Operaciones Simultáneas,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,122015,Cuentas Por Cobrar Por Incumplimiento O Terminación Anticipada En Operaciones Simultáneas,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,122020,Llamado Al Margen Entregado En Dinero En Operaciones Simultáneas,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,122095,Otras Operaciones Simultáneas,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
l10n_co_budgetary_position.niif_fin_1225,1225 - Operaciones De Transferencia Temporal De Valores,1225,Operaciones De Transferencia Temporal De Valores,,0,account.data_account_off_sheet,chart_template_niif_financiero,
,,122505,Compromisos Originados En Operaciones De Transferencia Temporal De Valores,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,122510,Rendimientos Por Cobrar De Compromisos En Operaciones De Transferencia Temporal De Valores,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,122515,Cupones Por Recibir De Valores En Operaciones De Transferencia Temporal De Valores,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,122520,Cuentas Por Cobrar Por Incumplimiento O Terminación Anticipada En Operaciones De Transferencia Temporal De Valores,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,122525,Llamado Al Margen En Operaciones De Transferencia Temporal De Valores,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,122595,Otras Operaciones De Transferencia Temporal De Valores,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
l10n_co_budgetary_position.niif_fin_1285,1285 - Derechos De Recompra De Cartera Negociada,1285,Derechos De Recompra De Cartera Negociada,,0,account.data_account_off_sheet,chart_template_niif_financiero,
,,128505,Derechos De Recompra De Cartera Negociada,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,128595,Otros Derechos De Recompra De Cartera Negociada,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
l10n_co_budgetary_position.niif_fin_13,13 - Inversiones Y Operaciones Con Derivados,13,Inversiones Y Operaciones Con Derivados,,0,account.data_account_off_sheet,chart_template_niif_financiero,
l10n_co_budgetary_position.niif_fin_1301,1301 - Inversiones A Valor Razonable Con Cambios En Resultados - Instrumentos Representativos De Deuda,1301,Inversiones A Valor Razonable Con Cambios En Resultados - Instrumentos Representativos De Deuda,,0,account.data_account_off_sheet,chart_template_niif_financiero,
,,130105,Títulos De Tesorería –Tes,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,130110,Otros Títulos Emitidos Por El Gobierno Nacional,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,130115,Otros Emisores Nacionales,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,130120,Emisores Extranjeros,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,130195,Otros Inversiones A Valor Razonable Con Cambios En Resultados - Instrumentos Representativos De Deuda,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
l10n_co_budgetary_position.niif_fin_1302,1302 - Inversiones A Valor Razonable Con Cambios En Resultados - Instrumentos De Patrimonio,1302,Inversiones A Valor Razonable Con Cambios En Resultados - Instrumentos De Patrimonio,,0,account.data_account_off_sheet,chart_template_niif_financiero,
,,130205,Emisores Nacionales,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,130210,Emisores Extranjeros,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,130295,Otras Inversiones A Valor Razonable Con Cambios En Resultados - Instrumentos De Patrimonio,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
l10n_co_budgetary_position.niif_fin_1303,1303 - Inversiones A Costo Amortizado,1303,Inversiones A Costo Amortizado,,0,account.data_account_off_sheet,chart_template_niif_financiero,
,,130305,Títulos De Tesorería - Tes,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,130310,Otros Títulos Emitidos Por El Gobierno Nacional,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,130315,Otros Emisores Nacionales,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,130320,Emisores Extranjeros,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,130395,Otros Inversiones A Costo Amortizado,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
l10n_co_budgetary_position.niif_fin_1304,1304 - Instrumentos De Patrimonio A Valor Razonable Con Cambios En El Origen,1304,Instrumentos De Patrimonio A Valor Razonable Con Cambios En El Origen,,0,account.data_account_off_sheet,chart_template_niif_financiero,
,,130405,Emisores Nacionales,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,130410,Emisores Extranjeros,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,130495,Otros Instrumentos De Patrimonio A Valor Razonable Con Cambios En El Origen,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
l10n_co_budgetary_position.niif_fin_1305,1305 - Inversiones A Valor Razonable Con Cambios En Resultados Entregados En Operaciones De Mercado Monetario - Instrumentos Representativos De Deuda (Derechos De Transferencia),1305,Inversiones A Valor Razonable Con Cambios En Resultados Entregados En Operaciones De Mercado Monetario - Instrumentos Representativos De Deuda (Derechos De Transferencia),,0,account.data_account_off_sheet,chart_template_niif_financiero,
,,130505,Títulos De Tesorería –Tes,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,130510,Otros Títulos Emitidos Por El Gobierno Nacional,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,130515,Otros Emisores Nacionales,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,130520,Emisores Extranjeros,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,130595,Otras Inversiones A Valor Razonable Con Cambios En Resultados Entregados En Operaciones De Mercado Monetario - Instrumentos Representativos De Deuda (Derechos De Transferencia),group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
l10n_co_budgetary_position.niif_fin_1306,1306 - Inversiones A Valor Razonable Con Cambios En Resultados Entregados En Operaciones De Mercado Monetario - Instrumentos De Patrimonio (Derechos De Transferencia),1306,Inversiones A Valor Razonable Con Cambios En Resultados Entregados En Operaciones De Mercado Monetario - Instrumentos De Patrimonio (Derechos De Transferencia),,0,account.data_account_off_sheet,chart_template_niif_financiero,
,,130605,Emisores Nacionales,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,130610,Emisores Extranjeros,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,130695,Otras Inversiones A Valor Razonable Con Cambios En Resultados Entregados En Operaciones De Mercado Monetario - Instrumentos De Patrimonio (Derechos De Transferencia),group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
l10n_co_budgetary_position.niif_fin_1307,1307 - Equipo De Computación (Restituido),1307,Equipo De Computación (Restituido),,0,account.data_account_off_sheet,chart_template_niif_financiero,
,,130705,Títulos De Tesorería –Tes,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,130710,Otros Títulos Emitidos Por El Gobierno Nacional,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,130715,Otros Emisores Nacionales,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,130720,Emisores Extranjeros,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,130795,Otros Emisores Extranjeros,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,130805,Emisores Nacionales,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,130810,Otros Emisores Extranjeros,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,130895,Otras Inversiones A Valor Razonable Con Cambios En El Origen Entregados En Operaciones De Mercado Monetario - Instrumentos De Patrimonio,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
l10n_co_budgetary_position.niif_fin_1309,1309 - Inversiones A Valor Razonable Con Cambios En Resultados Entregadas En Garantía De Operaciones Con Instrumentos Derivados - Instrumentos Representativos De Deuda ,1309,Inversiones A Valor Razonable Con Cambios En Resultados Entregadas En Garantía De Operaciones Con Instrumentos Derivados - Instrumentos Representativos De Deuda ,,0,account.data_account_off_sheet,chart_template_niif_financiero,
,,130905,Títulos De Tesorería –Tes,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,130910,Otros Títulos Emitidos Por El Gobierno Nacional,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,130915,Otros Emisores Nacionales,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,130920,Emisores Extranjeros,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,130995,Otras Inversiones A Valor Razonable Con Cambios En Resultados Entregadas En Garantía De Operaciones Con Instrumentos Derivados - Instrumentos Representativos De Deuda ,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
l10n_co_budgetary_position.niif_fin_1310,1310 - Co_Puc_Sol_5225,1310,Co_Puc_Sol_5225,,0,account.data_account_off_sheet,chart_template_niif_financiero,
,,131005,Emisores Nacionales,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,131010,Emisores Extranjeros,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,131095,Otras Inversiones A Valor Razonable Con Cambios En Resultados Entregados En Garantía De Operaciones Con Instrumentos Derivados - Instrumentos De Patrimonio ,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
l10n_co_budgetary_position.niif_fin_1311,1311 - Categoría D - Crédito Significativo Cartera De Vivienda,1311,Categoría D - Crédito Significativo Cartera De Vivienda,,0,account.data_account_off_sheet,chart_template_niif_financiero,
,,131105,Títulos De Tesorería –Tes,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,131110,Otros Títulos Emitidos Por El Gobierno Nacional,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,131115,Otros Emisores Nacionales,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,131120,Emisores Extranjeros,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,131195,Otras Inversiones A Costo Amortizado Con Cambios En Resultados Entregados En Garantía De Operaciones Con Instrumentos Derivados - Instrumentos Representativos De Deuda ,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
l10n_co_budgetary_position.niif_fin_1312,1312 - Inversiones A Valor Razonable Con Cambios En El Origen Entregados En Garantía De Operaciones Con Instrumentos Derivados - Instrumentos De Patrimonio,1312,Inversiones A Valor Razonable Con Cambios En El Origen Entregados En Garantía De Operaciones Con Instrumentos Derivados - Instrumentos De Patrimonio,,0,account.data_account_off_sheet,chart_template_niif_financiero,
,,131205,Emisores Nacionales,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,131210,Emisores Extranjeros,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,131295,Otras Inversiones A Valor Razonable Con Cambios En El Origen Entregados En Garantía De Operaciones Con Instrumentos Derivados - Instrumentos De Patrimonio,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
l10n_co_budgetary_position.niif_fin_1313,1313 - Inversiones A Valor Razonable Con Cambios En Resultados - Instrumentos De Patrimonio - Por Excedentes De Órdenes De Compra,1313,Inversiones A Valor Razonable Con Cambios En Resultados - Instrumentos De Patrimonio - Por Excedentes De Órdenes De Compra,,0,account.data_account_off_sheet,chart_template_niif_financiero,
,,131305,Emisores Nacionales,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,131310,Emisores Extranjeros,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,131395,Otras Inversiones A Valor Razonable Con Cambios En Resultados - Instrumentos De Patrimonio - Por Excedentes De Órdenes De Compra,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
l10n_co_budgetary_position.niif_fin_1314,1314 - Inversiones A Valor Razonable Con Cambios En Resultados - Instrumentos Representativos De Deuda - Por Excedentes De Órdenes De Compra,1314,Inversiones A Valor Razonable Con Cambios En Resultados - Instrumentos Representativos De Deuda - Por Excedentes De Órdenes De Compra,,0,account.data_account_off_sheet,chart_template_niif_financiero,
,,131405,Títulos De Tesorería –Tes,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,131410,Otros Títulos Emitidos Por El Gobierno Nacional,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,131415,Otros Emisores Nacionales,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,131420,Emisores Extranjeros,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,131495,Otras Inversiones A Valor Razonable Con Cambios En Resultados - Instrumentos Representativos De Deuda - Por Excedentes De Órdenes De Compra,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
l10n_co_budgetary_position.niif_fin_1315,1315 - Inversiones En Subsidiarias Y Filiales,1315,Inversiones En Subsidiarias Y Filiales,,0,account.data_account_off_sheet,chart_template_niif_financiero,
,,131505,Subsidiarias Y Filiales Nacionales,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,131510,Subsidiarias Y Filiales Extranjeras,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,131515,Inversiones Obligatorias  En Instrumentos De Patrimonio,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,131595,Otras Inversiones En Subsidiarias Y Filiales,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
l10n_co_budgetary_position.niif_fin_1316,1316 - Inversiones En Asociadas Y Participaciones En Negocios Conjuntos,1316,Inversiones En Asociadas Y Participaciones En Negocios Conjuntos,,0,account.data_account_off_sheet,chart_template_niif_financiero,
,,131605,Asociadas Nacionales,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,131610,Asociadas Extranjeras,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,131615,Negocios Conjuntos Nacionales,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,131620,Negocios Conjuntos Extranjeros,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
