id,code,name,name@esp,group_id:id,reconcile,account_type,chart_template_id:id,tag_ids:id
niif_fin_1132,1132,Funds in Transit,Fondos En Transito,,0,off_balance,chart_template_niif_financiero,
niif_fin_113205,113205,Funds in Transit,Fondos En Transito,group_fin_1_1_efe_equ,1,asset_cash,chart_template_niif_financiero,aat_1012_1110_K
niif_fin_113295,113295,Other Funds in Transit,Otros Fondos En Transito,group_fin_1_1_efe_equ,1,asset_cash,chart_template_niif_financiero,aat_1012_1110_K
niif_fin_1135,1135,Special Funds,Fondos Especiales,,0,off_balance,chart_template_niif_financiero,
niif_fin_113505,113505,Special Funds,Fondos Especiales,group_fin_1_1_efe_equ,1,asset_cash,chart_template_niif_financiero,aat_1012_1110_K
niif_fin_113595,113595,Special Funds,Fondos Especiales,group_fin_1_1_efe_equ,1,asset_cash,chart_template_niif_financiero,aat_1012_1110_K
niif_fin_1140,1140,Restricted Cash,Efectivo Restringido,,0,off_balance,chart_template_niif_financiero,
niif_fin_114005,114005,Restricted Cash,Efectivo Restringido,group_fin_1_1_efe_equ,1,asset_cash,chart_template_niif_financiero,aat_1012_1110_K
niif_fin_114095,114095,Other Restricted Cash,Otro Efectivo Restringido,group_fin_1_1_efe_equ,1,asset_cash,chart_template_niif_financiero,aat_1012_1110_K
niif_fin_1150,1150,Other Cash Equivalent Transactions,Otras Operaciones Equivalentes A Efectivo,,0,off_balance,chart_template_niif_financiero,
niif_fin_115005,115005,Monetary Operations,Operaciones Monetarias,group_fin_1_1_efe_equ,1,asset_cash,chart_template_niif_financiero,aat_1012_1110_K
niif_fin_115010,115010,Investments,Inversiones,group_fin_1_1_efe_equ,1,asset_cash,chart_template_niif_financiero,aat_1012_1110_K
niif_fin_115015,115015,Participation in Sight Funds,Participación En Fondos A La Vista,group_fin_1_1_efe_equ,1,asset_cash,chart_template_niif_financiero,aat_1012_1110_K
niif_fin_115095,115095,Others,Otros,group_fin_1_1_efe_equ,1,asset_cash,chart_template_niif_financiero,aat_1012_1110_K
niif_fin_12,12,Money Market and Related Operations,Operaciones Del Mercado Monetario Y Relacionadas,,0,off_balance,chart_template_niif_financiero,
niif_fin_1205,1205,Active Interassociated Funds,Fondos Interasociados Activos,,0,off_balance,chart_template_niif_financiero,
niif_fin_120505,120505,General Insurance Companies,Compañías De Seguros Generales,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_120510,120510,Life Insurance Companies,Compañías De Seguros De Vida,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_120515,120515,Reinsurance Companies,Sociedades De Reaseguros,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_120520,120520,Capitalization Companies,Sociedades De Capitalización,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_120595,120595,Other Active Inter-Associated Funds,Otros Fondos Interasociados Activos,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_1210,1210,Ordinary Sold Interbank Funds,Fondos Interbancarios Vendidos Ordinarios,,0,off_balance,chart_template_niif_financiero,
niif_fin_121005,121005,Banks,Bancos,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_121010,121010,Financial Corporations,Corporaciones Financieras,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_121015,121015,Financing Companies,Compañías De Financiamiento ,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_121020,121020,Bank of the Republic,Banco De La República,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_121025,121025,General Treasury of the Nation,Tesorería General De La Nación,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_121030,121030,Public Sector Entities,Entidades Del Sector Público,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_121035,121035,Foreign Residents,Residentes Del Exterior,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_121095,121095,Other Financial Entities,Otras Entidades Financieras,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_1215,1215,Repo or Repo Operations,Operaciones De Reporto O Repo,,0,off_balance,chart_template_niif_financiero,
niif_fin_121505,121505,Transfer Commitments in Open Repo Operations,Compromisos De Transferencia En Operaciones De Repo Abierto,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_121510,121510,Transfer Commitments in Closed Repo Operations,Compromisos De Transferencia En Operaciones De Repo Cerrado,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_121515,121515,Coupons Receivable for Securities in Repo Operations,Cupones Por Recibir De Valores En Operaciones Repo,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_121520,121520,Accounts Receivable Due to Default or Early Termination in Repo Operations,Cuentas Por Cobrar Por Incumplimiento O Terminación Anticipada En Operaciones Repo ,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_121525,121525,Margin Call Delivered In Money In Repo Operations,Llamado Al Margen Entregado En Dinero En Operaciones Repo,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_121595,121595,Other Repo or Repo Operations,Otras Operaciones De Reporto O Repo,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_1220,1220,Simultaneous Operations,Operaciones Simultáneas,,0,off_balance,chart_template_niif_financiero,
niif_fin_122005,122005,Investment Transfer Commitments in Simultaneous Operations,Compromisos De Transferencia De Inversiones En Operaciones Simultáneas,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_122010,122010,Coupons Receivable for Securities in Simultaneous Operations,Cupones Por Recibir De Valores En Operaciones Simultáneas,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_122015,122015,Accounts Receivable Due to Default or Early Termination in Simultaneous Operations,Cuentas Por Cobrar Por Incumplimiento O Terminación Anticipada En Operaciones Simultáneas,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_122020,122020,Margin Call Delivered Money In Simultaneous Trades,Llamado Al Margen Entregado En Dinero En Operaciones Simultáneas,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_122095,122095,Other Simultaneous Operations,Otras Operaciones Simultáneas,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_1225,1225,Temporary Value Transfer Operations,Operaciones De Transferencia Temporal De Valores,,0,off_balance,chart_template_niif_financiero,
niif_fin_122505,122505,Commitments Originating in Temporary Value Transfer Operations,Compromisos Originados En Operaciones De Transferencia Temporal De Valores,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_122510,122510,Returns Receivable from Commitments in Temporary Value Transfer Operations,Rendimientos Por Cobrar De Compromisos En Operaciones De Transferencia Temporal De Valores,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_122515,122515,Coupons Receivable for Securities in Temporary Securities Transfer Operations,Cupones Por Recibir De Valores En Operaciones De Transferencia Temporal De Valores,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_122520,122520,Accounts Receivable Due to Non-Compliance or Early Termination in Temporary Securities Transfer Operations,Cuentas Por Cobrar Por Incumplimiento O Terminación Anticipada En Operaciones De Transferencia Temporal De Valores,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_122525,122525,Margin Call in Temporary Securities Transfer Operations,Llamado Al Margen En Operaciones De Transferencia Temporal De Valores,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_122595,122595,Other Temporary Value Transfer Operations,Otras Operaciones De Transferencia Temporal De Valores,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_1285,1285,Negotiated Portfolio Repurchase Rights,Derechos De Recompra De Cartera Negociada,,0,off_balance,chart_template_niif_financiero,
niif_fin_128505,128505,Negotiated Portfolio Repurchase Rights,Derechos De Recompra De Cartera Negociada,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_128595,128595,Other Traded Portfolio Repurchase Rights,Otros Derechos De Recompra De Cartera Negociada,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_13,13,Investments and Operations with Derivatives,Inversiones Y Operaciones Con Derivados,,0,off_balance,chart_template_niif_financiero,
niif_fin_1301,1301,Investments at Fair Value with Changes in Results - Representative Debt Instruments,Inversiones A Valor Razonable Con Cambios En Resultados - Instrumentos Representativos De Deuda,,0,off_balance,chart_template_niif_financiero,
niif_fin_130105,130105,Treasury Titles –Tes,Títulos De Tesorería –Tes,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_130110,130110,Other Titles Issued by the National Government,Otros Títulos Emitidos Por El Gobierno Nacional,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_130115,130115,Other National Issuers,Otros Emisores Nacionales,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_130120,130120,Foreign Issuers,Emisores Extranjeros,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_130195,130195,Other Investments at Fair Value with Changes in Results - Debt Instruments,Otros Inversiones A Valor Razonable Con Cambios En Resultados - Instrumentos Representativos De Deuda,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_1302,1302,Investments at Fair Value with Changes in Results - Equity Instruments,Inversiones A Valor Razonable Con Cambios En Resultados - Instrumentos De Patrimonio,,0,off_balance,chart_template_niif_financiero,
niif_fin_130205,130205,National Issuers,Emisores Nacionales,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_130210,130210,Foreign Issuers,Emisores Extranjeros,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_130295,130295,Other Investments at Fair Value with Changes in Results - Equity Instruments,Otras Inversiones A Valor Razonable Con Cambios En Resultados - Instrumentos De Patrimonio,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_1303,1303,Investments at Amortized Cost,Inversiones A Costo Amortizado,,0,off_balance,chart_template_niif_financiero,
niif_fin_130305,130305,Treasury Securities - Tes,Títulos De Tesorería - Tes,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_130310,130310,Other Titles Issued by the National Government,Otros Títulos Emitidos Por El Gobierno Nacional,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_130315,130315,Other National Issuers,Otros Emisores Nacionales,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_130320,130320,Foreign Issuers,Emisores Extranjeros,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_130395,130395,Other Investments at Amortized Cost,Otros Inversiones A Costo Amortizado,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_1304,1304,Equity Instruments At Fair Value With Changes In Origin,Instrumentos De Patrimonio A Valor Razonable Con Cambios En El Origen,,0,off_balance,chart_template_niif_financiero,
niif_fin_130405,130405,National Issuers,Emisores Nacionales,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_130410,130410,Foreign Issuers,Emisores Extranjeros,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_130495,130495,Other Equity Instruments at Fair Value with Changes in Origin,Otros Instrumentos De Patrimonio A Valor Razonable Con Cambios En El Origen,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_1305,1305,Investments at Fair Value with Changes in Results Delivered in Money Market Operations - Instruments Representative of Debt (Transfer Rights),Inversiones A Valor Razonable Con Cambios En Resultados Entregados En Operaciones De Mercado Monetario - Instrumentos Representativos De Deuda (Derechos De Transferencia),,0,off_balance,chart_template_niif_financiero,
niif_fin_130505,130505,Treasury Titles –Tes,Títulos De Tesorería –Tes,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_130510,130510,Other Titles Issued by the National Government,Otros Títulos Emitidos Por El Gobierno Nacional,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_130515,130515,Other National Issuers,Otros Emisores Nacionales,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_130520,130520,Foreign Issuers,Emisores Extranjeros,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_130595,130595,Other Investments at Fair Value with Changes in Results Delivered in Money Market Operations - Debt Instruments (Transfer Rights),Otras Inversiones A Valor Razonable Con Cambios En Resultados Entregados En Operaciones De Mercado Monetario - Instrumentos Representativos De Deuda (Derechos De Transferencia),group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_1306,1306,Investments at Fair Value with Changes in Results Delivered in Money Market Operations - Equity Instruments (Transfer Rights),Inversiones A Valor Razonable Con Cambios En Resultados Entregados En Operaciones De Mercado Monetario - Instrumentos De Patrimonio (Derechos De Transferencia),,0,off_balance,chart_template_niif_financiero,
niif_fin_130605,130605,National Issuers,Emisores Nacionales,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_130610,130610,Foreign Issuers,Emisores Extranjeros,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_130695,130695,Other Investments at Fair Value with Changes in Results Delivered in Money Market Operations - Equity Instruments (Transfer Rights),Otras Inversiones A Valor Razonable Con Cambios En Resultados Entregados En Operaciones De Mercado Monetario - Instrumentos De Patrimonio (Derechos De Transferencia),group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_1307,1307,Computer Equipment (Restored),Equipo De Computación (Restituido),,0,off_balance,chart_template_niif_financiero,
niif_fin_130705,130705,Treasury Titles –Tes,Títulos De Tesorería –Tes,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_130710,130710,Other Titles Issued by the National Government,Otros Títulos Emitidos Por El Gobierno Nacional,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_130715,130715,Other National Issuers,Otros Emisores Nacionales,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_130720,130720,Foreign Issuers,Emisores Extranjeros,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_130795,130795,Other Foreign Issuers,Otros Emisores Extranjeros,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_130805,130805,National Issuers,Emisores Nacionales,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_130810,130810,Other Foreign Issuers,Otros Emisores Extranjeros,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_130895,130895,Other Investments at Fair Value with Changes in Origin Delivered in Money Market Operations - Equity Instruments,Otras Inversiones A Valor Razonable Con Cambios En El Origen Entregados En Operaciones De Mercado Monetario - Instrumentos De Patrimonio,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_1309,1309,Investments at Fair Value with Changes in Results Delivered as Security for Operations with Derivative Instruments - Debt Instruments,Inversiones A Valor Razonable Con Cambios En Resultados Entregadas En Garantía De Operaciones Con Instrumentos Derivados - Instrumentos Representativos De Deuda ,,0,off_balance,chart_template_niif_financiero,
niif_fin_130905,130905,Treasury Titles –Tes,Títulos De Tesorería –Tes,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_130910,130910,Other Titles Issued by the National Government,Otros Títulos Emitidos Por El Gobierno Nacional,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_130915,130915,Other National Issuers,Otros Emisores Nacionales,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_130920,130920,Foreign Issuers,Emisores Extranjeros,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_130995,130995,Other Investments at Fair Value with Changes in Results Delivered as Guarantee for Operations with Derivative Instruments - Debt Instruments,Otras Inversiones A Valor Razonable Con Cambios En Resultados Entregadas En Garantía De Operaciones Con Instrumentos Derivados - Instrumentos Representativos De Deuda ,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_1310,1310,Co_Puc_Sol_5225,Co_Puc_Sol_5225,,0,off_balance,chart_template_niif_financiero,
niif_fin_131005,131005,National Issuers,Emisores Nacionales,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_131010,131010,Foreign Issuers,Emisores Extranjeros,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_131095,131095,Other Investments at Fair Value with Changes in Results Delivered as Guarantee for Operations with Derivative Instruments - Equity Instruments,Otras Inversiones A Valor Razonable Con Cambios En Resultados Entregados En Garantía De Operaciones Con Instrumentos Derivados - Instrumentos De Patrimonio ,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_1311,1311,Category D - Significant Credit Housing Portfolio,Categoría D - Crédito Significativo Cartera De Vivienda,,0,off_balance,chart_template_niif_financiero,
niif_fin_131105,131105,Treasury Titles –Tes,Títulos De Tesorería –Tes,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_131110,131110,Other Titles Issued by the National Government,Otros Títulos Emitidos Por El Gobierno Nacional,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_131115,131115,Other National Issuers,Otros Emisores Nacionales,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_131120,131120,Foreign Issuers,Emisores Extranjeros,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_131195,131195,Other Investments at Amortized Cost with Changes in Results Delivered as Guarantee for Operations with Derivative Instruments - Debt Instruments,Otras Inversiones A Costo Amortizado Con Cambios En Resultados Entregados En Garantía De Operaciones Con Instrumentos Derivados - Instrumentos Representativos De Deuda ,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_1312,1312,Investments at Fair Value with Changes in Origin Delivered as Security for Transactions with Derivative Instruments - Equity Instruments,Inversiones A Valor Razonable Con Cambios En El Origen Entregados En Garantía De Operaciones Con Instrumentos Derivados - Instrumentos De Patrimonio,,0,off_balance,chart_template_niif_financiero,
niif_fin_131205,131205,National Issuers,Emisores Nacionales,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_131210,131210,Foreign Issuers,Emisores Extranjeros,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_131295,131295,Other Investments at Fair Value with Changes in Origin Delivered as Security for Transactions with Derivative Instruments - Equity Instruments,Otras Inversiones A Valor Razonable Con Cambios En El Origen Entregados En Garantía De Operaciones Con Instrumentos Derivados - Instrumentos De Patrimonio,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_1313,1313,Investments at Fair Value with Changes in Results - Equity Instruments - Due to Surplus Purchase Orders,Inversiones A Valor Razonable Con Cambios En Resultados - Instrumentos De Patrimonio - Por Excedentes De Órdenes De Compra,,0,off_balance,chart_template_niif_financiero,
niif_fin_131305,131305,National Issuers,Emisores Nacionales,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_131310,131310,Foreign Issuers,Emisores Extranjeros,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_131395,131395,Other Investments at Fair Value with Changes in Results - Equity Instruments - Due to Surplus Purchase Orders,Otras Inversiones A Valor Razonable Con Cambios En Resultados - Instrumentos De Patrimonio - Por Excedentes De Órdenes De Compra,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_1314,1314,Investments at Fair Value with Changes in Results - Representative Debt Instruments - Due to Surplus Purchase Orders,Inversiones A Valor Razonable Con Cambios En Resultados - Instrumentos Representativos De Deuda - Por Excedentes De Órdenes De Compra,,0,off_balance,chart_template_niif_financiero,
niif_fin_131405,131405,Treasury Titles –Tes,Títulos De Tesorería –Tes,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_131410,131410,Other Titles Issued by the National Government,Otros Títulos Emitidos Por El Gobierno Nacional,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_131415,131415,Other National Issuers,Otros Emisores Nacionales,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_131420,131420,Foreign Issuers,Emisores Extranjeros,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_131495,131495,Other Investments at Fair Value with Changes in Results - Representative Debt Instruments - Due to Surplus Purchase Orders,Otras Inversiones A Valor Razonable Con Cambios En Resultados - Instrumentos Representativos De Deuda - Por Excedentes De Órdenes De Compra,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
niif_fin_1315,1315,Investments in subsidiaries and affiliates,Inversiones En Subsidiarias Y Filiales,,0,off_balance,chart_template_niif_financiero,
niif_fin_131505,131505,Subsidiaries and National Affiliates,Subsidiarias Y Filiales Nacionales,group_fin_1_2_inv_cor,0,asset_current,chart_template_niif_financiero,aat_1012_1204_K
